minute,player_id,player_name,team_name,x,y,end_x,end_y,pass_recipient_id,pass_recipient_name,outcome_id,outcome_name
4,7797.0,Rodrigo Javier De Paul,Argentina,84.6,49.8,103.6,15.5,2995.0,Ángel Fabián Di María Hernández,9.0,Incomplete
4,4445.0,Jules Koundé,France,16.5,64.6,28.3,71.4,5477.0,Ousmane Dembélé,,
4,5477.0,Ousmane Dembélé,France,28.3,71.4,17.2,77.2,4445.0,Jules Koundé,,
4,4445.0,Jules Koundé,France,17.2,77.2,27.2,68.4,5487.0,Antoine Griezmann,,
4,5487.0,Antoine Griezmann,France,27.6,68.2,21.4,60.3,,,9.0,Incomplete
4,29560.0,Julián Álvarez,Argentina,98.7,19.8,92.3,21.5,27886.0,Alexis Mac Allister,,
4,3099.0,Hugo Lloris,France,8.8,41.9,76.0,42.1,,,9.0,Incomplete
4,38718.0,Enzo Fernandez,Argentina,56.5,39.7,66.4,42.9,,,9.0,Incomplete
4,3026.0,Adrien Rabiot,France,53.1,36.3,41.3,35.7,8519.0,Dayotchanculle Upamecano,,
4,8519.0,Dayotchanculle Upamecano,France,41.5,35.7,58.7,7.4,6704.0,Theo Bernard François Hernández,,
5,6704.0,Theo Bernard François Hernández,France,61.6,7.7,69.3,5.3,3009.0,Kylian Mbappé Lottin,,
5,3009.0,Kylian Mbappé Lottin,France,68.7,5.9,56.1,10.2,6704.0,Theo Bernard François Hernández,,
5,6704.0,Theo Bernard François Hernández,France,55.7,10.2,41.3,16.2,8519.0,Dayotchanculle Upamecano,,
5,8519.0,Dayotchanculle Upamecano,France,36.8,21.3,41.1,38.2,10481.0,Aurélien Djani Tchouaméni,,
5,10481.0,Aurélien Djani Tchouaméni,France,43.9,51.3,66.8,60.1,5477.0,Ousmane Dembélé,9.0,Incomplete
5,4445.0,Jules Koundé,France,56.7,76.7,21.9,51.3,3099.0,Hugo Lloris,,
5,3099.0,Hugo Lloris,France,19.9,51.1,27.2,56.6,5485.0,Raphaël Varane,,
5,5485.0,Raphaël Varane,France,39.4,51.9,42.2,25.2,8519.0,Dayotchanculle Upamecano,,
5,8519.0,Dayotchanculle Upamecano,France,44.3,23.3,69.3,5.1,6704.0,Theo Bernard François Hernández,,
5,6704.0,Theo Bernard François Hernández,France,46.5,34.4,40.7,54.7,4445.0,Jules Koundé,,
5,4445.0,Jules Koundé,France,37.9,54.7,34.5,34.8,5485.0,Raphaël Varane,,
5,5485.0,Raphaël Varane,France,36.8,36.7,45.8,32.3,6704.0,Theo Bernard François Hernández,,
5,3026.0,Adrien Rabiot,France,53.3,33.3,51.6,62.4,5477.0,Ousmane Dembélé,,
6,5477.0,Ousmane Dembélé,France,64.6,76.1,44.1,71.4,4445.0,Jules Koundé,,
6,4445.0,Jules Koundé,France,42.4,66.0,33.2,55.6,5485.0,Raphaël Varane,,
6,5485.0,Raphaël Varane,France,33.6,32.7,39.4,26.9,8519.0,Dayotchanculle Upamecano,,
6,8519.0,Dayotchanculle Upamecano,France,46.7,22.6,54.6,39.1,5485.0,Raphaël Varane,,
6,5485.0,Raphaël Varane,France,46.0,48.7,39.6,25.4,8519.0,Dayotchanculle Upamecano,,
6,8519.0,Dayotchanculle Upamecano,France,39.6,25.2,33.8,36.5,5485.0,Raphaël Varane,,
6,5485.0,Raphaël Varane,France,25.3,51.5,23.1,26.7,8519.0,Dayotchanculle Upamecano,,
